start;stop;from;from_ip;server;server_dist;server_ping;download;upload;share_url
2016-03-16 18:50:01;2016-03-16 18:50:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.851 ms;91.59 Mbit/s;19.49 Mbit/s;http://www.speedtest.net/result/5173301389.png
2016-03-16 18:55:01;2016-03-16 18:55:35;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;28.434 ms;88.21 Mbit/s;16.79 Mbit/s;http://www.speedtest.net/result/5173315165.png
2016-03-16 19:00:01;2016-03-16 19:00:36;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.838 ms;49.87 Mbit/s;17.41 Mbit/s;http://www.speedtest.net/result/5173328702.png
2016-03-16 19:05:01;2016-03-16 19:05:34;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.632 ms;86.58 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5173342141.png
2016-03-16 19:10:01;2016-03-16 19:10:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.118 ms;92.49 Mbit/s;19.38 Mbit/s;http://www.speedtest.net/result/5173354968.png
2016-03-16 19:15:01;2016-03-16 19:15:30;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;27.293 ms;93.13 Mbit/s;19.23 Mbit/s;http://www.speedtest.net/result/5173368232.png
2016-03-16 19:20:01;2016-03-16 19:20:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.021 ms;91.56 Mbit/s;16.91 Mbit/s;http://www.speedtest.net/result/5173381209.png
2016-03-16 19:25:01;2016-03-16 19:25:31;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;27.333 ms;92.32 Mbit/s;12.19 Mbit/s;http://www.speedtest.net/result/5173394172.png
2016-03-16 19:30:01;2016-03-16 19:30:31;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.3 ms;92.69 Mbit/s;19.53 Mbit/s;http://www.speedtest.net/result/5173406894.png
2016-03-16 19:35:01;2016-03-16 19:35:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.621 ms;92.41 Mbit/s;19.26 Mbit/s;http://www.speedtest.net/result/5173419960.png
2016-03-16 19:40:01;2016-03-16 19:40:34;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.162 ms;91.36 Mbit/s;13.59 Mbit/s;http://www.speedtest.net/result/5173433052.png
2016-03-16 19:45:01;2016-03-16 19:45:32;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.649 ms;86.29 Mbit/s;19.32 Mbit/s;http://www.speedtest.net/result/5173445854.png
2016-03-16 19:50:01;2016-03-16 19:50:33;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;24.134 ms;91.13 Mbit/s;14.37 Mbit/s;http://www.speedtest.net/result/5173458604.png
2016-03-16 19:55:01;2016-03-16 19:55:29;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.848 ms;91.02 Mbit/s;19.50 Mbit/s;http://www.speedtest.net/result/5173470988.png
2016-03-16 20:00:01;2016-03-16 20:00:38;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.353 ms;86.56 Mbit/s;19.57 Mbit/s;http://www.speedtest.net/result/5173484120.png
2016-03-16 20:05:01;2016-03-16 20:05:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;25.973 ms;87.52 Mbit/s;19.50 Mbit/s;http://www.speedtest.net/result/5173496538.png
2016-03-16 20:10:01;2016-03-16 20:10:33;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;27.531 ms;91.90 Mbit/s;19.53 Mbit/s;http://www.speedtest.net/result/5173509276.png
2016-03-16 20:15:01;2016-03-16 20:15:28;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;25.242 ms;92.14 Mbit/s;19.46 Mbit/s;http://www.speedtest.net/result/5173521608.png
2016-03-16 20:20:01;2016-03-16 20:20:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.146 ms;92.52 Mbit/s;16.99 Mbit/s;http://www.speedtest.net/result/5173533853.png
2016-03-16 20:25:02;2016-03-16 20:25:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.787 ms;91.60 Mbit/s;19.61 Mbit/s;http://www.speedtest.net/result/5173545981.png
2016-03-16 20:30:01;2016-03-16 20:30:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.277 ms;88.53 Mbit/s;17.83 Mbit/s;http://www.speedtest.net/result/5173558320.png
2016-03-16 20:35:01;2016-03-16 20:35:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;27.247 ms;92.48 Mbit/s;17.93 Mbit/s;http://www.speedtest.net/result/5173570503.png
2016-03-16 20:40:01;2016-03-16 20:40:34;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.279 ms;90.17 Mbit/s;19.55 Mbit/s;http://www.speedtest.net/result/5173582732.png
2016-03-16 20:45:01;2016-03-16 20:45:30;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;28.067 ms;92.81 Mbit/s;19.35 Mbit/s;http://www.speedtest.net/result/5173594356.png
2016-03-16 20:50:02;2016-03-16 20:50:30;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.617 ms;89.12 Mbit/s;19.41 Mbit/s;http://www.speedtest.net/result/5173606111.png
2016-03-16 20:55:01;2016-03-16 20:55:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;27.867 ms;89.74 Mbit/s;18.25 Mbit/s;http://www.speedtest.net/result/5173617379.png
2016-03-16 21:00:01;2016-03-16 21:00:36;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;27.151 ms;91.31 Mbit/s;17.96 Mbit/s;http://www.speedtest.net/result/5173628541.png
2016-03-16 21:05:01;2016-03-16 21:05:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.748 ms;93.04 Mbit/s;19.25 Mbit/s;http://www.speedtest.net/result/5173639501.png
2016-03-16 21:10:01;2016-03-16 21:10:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.987 ms;87.95 Mbit/s;19.43 Mbit/s;http://www.speedtest.net/result/5173650232.png
2016-03-16 21:15:01;2016-03-16 21:15:28;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.82 ms;93.09 Mbit/s;19.46 Mbit/s;http://www.speedtest.net/result/5173660743.png
2016-03-16 21:20:01;2016-03-16 21:20:34;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;24.806 ms;92.20 Mbit/s;15.74 Mbit/s;http://www.speedtest.net/result/5173671303.png
2016-03-16 21:25:02;2016-03-16 21:25:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.194 ms;91.96 Mbit/s;18.74 Mbit/s;http://www.speedtest.net/result/5173681165.png
2016-03-16 21:30:01;2016-03-16 21:30:33;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.554 ms;92.60 Mbit/s;17.19 Mbit/s;http://www.speedtest.net/result/5173691038.png
